Reactant,product,er_nbo,er_bond,er_vbur,er_l,er_b1,er_b5,average_er,DFTScore
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\Sc1ccccc1)c1cccc(F)c1,CCOC(=O)C[C@@H](Sc1ccccc1)c1cccc(F)c1,not found,not found,not found,not found,not found,not found,not found,not found
CC(C)=C(C(=O)O)c1ccccc1,CC(C)[C@@H](C(=O)O)c1ccccc1,badfit,badfit,badfit,badfit,2.7542301533406737,1.9806535352069838,2.367441844273829,0.914310649850005
C/C(=C\C(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1,Cc1ccc(C(=O)C[C@@H](C)S(=O)(=O)c2ccc(C)cc2)cc1,not found,not found,not found,not found,not found,not found,not found,not found
[H]/C=C(\NC(C)=O)C(=O)O,CC(=O)N[C@H](C)C(=O)O,badfit,4.699925221603316,badfit,4.763316326606654,badfit,badfit,4.731620774104985,0.9912647992236605
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOP(=O)(/C=C(\N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C\S(C)(=O)=O)c1ccc(C)cc1,CC(=O)N[C@H](CS(C)(=O)=O)c1ccc(C)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C(F)=C\c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(/C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(C)=O)C(=O)OC,COC(=O)[C@H](C)CC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CN1CCC=C1c1cccc(F)c1,CN1CCC[C@H]1c1cccc(F)c1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)/C(C)=C/c1ccccc1,CC(=O)[C@@H](C)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
Cc1cc2ccccc2[nH]1,C[C@@H]1Cc2ccccc2N1,badfit,3.6107105991071475,3.555937979415866,badfit,3.73943398988597,3.7471957936149813,3.663319590505991,0.9749940992157512
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C(O)/C(=C/c1ccccc1)c1ccccc1,O=C(O)[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C\c1cccc(Cl)c1)C(F)(F)F,CC(=O)N[C@@H](Cc1cccc(Cl)c1)C(F)(F)F,not found,not found,not found,not found,not found,not found,not found,not found
O=C(O)/C(=C/c1ccccc1)OCc1ccccc1,O=C(O)[C@H](Cc1ccccc1)OCc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccc(Cl)cc1,CCOC(=O)C[C@H](C)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(\Oc1ccc(C(C)(C)C)cc1)C(=O)O,CC[C@H](Oc1ccc(C(C)(C)C)cc1)C(=O)O,not found,not found,not found,not found,not found,not found,not found,not found
COCC1=C(c2ccc(OC)cc2)CCCC1,COC[C@H]1CCCC[C@H]1c1ccc(OC)cc1,badfit,badfit,4.476969825134443,badfit,badfit,badfit,4.476969825134443,0.9887599670678283
C=C(CCCC)OC(=O)C(C)(C)C,CCCC[C@H](C)OC(=O)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C/C=C(\Oc1ccc2ccccc2c1)C(=O)O,CC[C@H](Oc1ccc2ccccc2c1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
COc1ccc(/C(C)=C/c2ccccc2)cc1,COc1ccc([C@H](C)Cc2ccccc2)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccc(OC)cc1,COc1ccc([C@@H](C)NC(C)=O)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(C#N)=C/c1ccccc1,CC(=O)N[C@H](C#N)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=C(c2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(\NC(C)=O)c1ccc(OC)cc1,COC(=O)C[C@@H](NC(C)=O)c1ccc(OC)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(CCCC)B1OC(C)(C)C(C)(C)O1,CCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C\c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C(O)/C(=C/c1ccccc1)CO,O=C(O)[C@H](CO)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)C(C)(C)C,C[C@H](c1ccccc1)C(C)(C)C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCc1ccc2c(c1)C(=O)C(NC(C)=O)=C2,CCc1ccc2c(c1)C(=O)[C@@H](NC(C)=O)C2,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(C)=C/c1ccccc1,COC(=O)[C@H](C)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(c1ccccc1)c1cc(F)ccc1O,C[C@@H](c1ccccc1)c1cc(F)ccc1O,not found,not found,not found,not found,not found,not found,not found,not found
CC(=O)NC1=C(C)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\C(=O)n1cccn1)c1ccccc1,C[C@H](CC(=O)n1cccn1)c1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C=C(\C)CCc1ccccc1,CCOC(=O)C[C@@H](C)CCc1ccccc1,0.8354756083413157,1.3705826756978148,badfit,0.8883642381209116,badfit,0.9076448232148575,1.000516836343725,0.7311601826869496
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)c1ccccc1)C(=O)O,C[C@@H](CC(=O)c1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(/B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C1OCCC/C1=C\c1ccccc1,O=C1OCCC[C@@H]1Cc1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)C1=C(NC(C)=O)CCC1,CCOC(=O)[C@H]1CCC[C@H]1NC(C)=O,5.4063750971841245,5.027336271201278,4.81343479736006,4.81685132075541,badfit,badfit,5.0159993716252185,0.9934126786506774
C=C(NC(C)=O)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12,1.7346010553881062,nofit,1.734601055391633,1.7346010553805256,1.7346010553584736,1.7346010553563969,1.7346010553750273,0.8499999999983324
C=C(c1ccc(C)cc1)c1ccccn1,Cc1ccc([C@H](C)c2ccccn2)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C=C(\C#N)CC(C)C,COC(=O)C[C@@H](C#N)CC(C)C,not found,not found,not found,not found,not found,not found,not found,not found
O=S1(=O)CCCC=C(c2ccccc2)C1,O=S1(=O)CCCC[C@H](c2ccccc2)C1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
O=C(O)/C=C(/c1ccccc1)c1ccccc1Cl,O=C(O)C[C@@H](c1ccccc1)c1ccccc1Cl,not found,not found,not found,not found,not found,not found,not found,not found
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@H](Cc1ccccc1)C(=O)O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=S1(=O)C(c2ccccc2)=Cc2ccccc21,O=S1(=O)c2ccccc2C[C@@H]1c1ccccc1,badfit,badfit,badfit,nofit,nofit,nofit,nofit,nofit
COc1ccc(O/C(=C\c2ccccc2)C(=O)O)cc1,COc1ccc(O[C@@H](Cc2ccccc2)C(=O)O)cc1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)c1ccc(Br)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Br)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C1c2ccccc2CCN1C,C[C@@H]1c2ccccc2CCN1C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(C)/C=C1\CCCNC1=O,CC(C)C[C@@H]1CCCNC1=O,not found,not found,not found,not found,not found,not found,not found,not found
CC1=C(c2ccccc2)c2ccccc2CC1,C[C@H]1CCc2ccccc2[C@H]1c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CC(=O)NC1=CCCc2ccccc21,CC(=O)N[C@@H]1CCCc2ccccc21,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CCCC)c1ccccc1,CCCC[C@H](C)c1ccccc1,3.9656897457477425,badfit,4.494029857494162,badfit,4.252829058151525,badfit,4.237516220464476,0.985762220646809
COCCCOc1cc(/C=C(/C(=O)O)C(C)C)ccc1OC,COCCCOc1cc(C[C@@H](C(=O)O)C(C)C)ccc1OC,2.7871633742187036,badfit,1.9503818171445886,3.186456385072649,badfit,badfit,2.6413338588119806,0.9334748443777139
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](NC(C)=O)c1ccc(Cl)cc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CC(=O)NC1=C(Cc2ccccc2)CCCC1,CC(=O)N[C@H]1CCCC[C@H]1Cc1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)c1ccc(Cl)cc1,CC(=O)N[C@@H](C)c1ccc(Cl)cc1,badfit,badfit,badfit,badfit,2.3892553203586715,badfit,2.3892553203586715,0.9160042898768912
CC(C)=CCC/C(C)=C/CO,CC(C)=CCC[C@@H](C)CCO,3.8918202981106256,3.8918202981106256,3.8918202981106256,3.8918202981106256,3.8918202981106256,3.8918202981106256,3.8918202981106256,0.98
O=C1C=C(c2ccccc2)CN1,O=C1C[C@H](c2ccccc2)CN1,badfit,badfit,0.3810304997530487,badfit,badfit,1.002331838486791,0.6916811691199198,0.6663408067859701
Fc1ccc(-c2cc3ccccc3o2)cc1,Fc1ccc([C@@H]2Cc3ccccc3O2)cc1,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134589,4.595119850134588,0.99
CCOC(=O)CC1=CCCCC1C(=O)OC,CCOC(=O)C[C@H]1CCCCC1C(=O)OC,1.971574534406313,badfit,2.1290299721668617,1.9591563238153924,badfit,badfit,2.019920276796189,0.882872765323274
COC(=O)/C(=C\CCCC1OCCO1)NC=O,COC(=O)[C@@H](CCCCC1OCCO1)NC=O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@H]1CCc2ccccc2C1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
OCC1=COc2ccccc2O1,OC[C@H]1COc2ccccc2O1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=C1C/C(=C/c2ccc(F)cc2)CCN1,O=C1C[C@H](Cc2ccc(F)cc2)CCN1,badfit,badfit,badfit,2.9508870233567936,badfit,2.8770866804393087,2.913986851898051,0.9485335417292273
CCC/C(=C/[N+](=O)[O-])NC(C)=O,CCC[C@@H](C[N+](=O)[O-])NC(C)=O,not found,not found,not found,not found,not found,not found,not found,not found
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)CO,C[C@@H](CO)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCC/C=C(\OC(=O)c1ccccc1)P(=O)(OC)OC,CCCC[C@@H](OC(=O)c1ccccc1)P(=O)(OC)OC,4.2498526438262765,0.005892390778324597,0.4235240789465404,0.7705361849241452,2.2341975106515886,3.1299700176663805,1.8023288044655426,0.858432182557702
COC(=O)/C(=C/c1ccc(Br)cc1)NC(C)=O,COC(=O)[C@H](Cc1ccc(Br)cc1)NC(C)=O,4.18730985515788,4.1299059420513835,4.019011255554735,badfit,badfit,4.0411748617078755,4.094350478617969,0.9836066527768709
C/C=C(\NC(C)=O)C(=O)OC,CC[C@@H](NC(C)=O)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
[H]/C=C(\NC(C)=O)C1=CC=CCC=C1,CC(=O)N[C@@H](C)C1=CC=CCC=C1,badfit,badfit,badfit,badfit,badfit,9.529812196584896,9.529812196584896,0.9999273520108708
Brc1ccc2c(c1)CCC=C2c1ccccc1,Brc1ccc2c(c1)CCC[C@H]2c1ccccc1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\Sc1ccccc1)c1ccccc1OC,CCOC(=O)C[C@@H](Sc1ccccc1)c1ccccc1OC,not found,not found,not found,not found,not found,not found,not found,not found
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
O=c1[nH]c(-c2ccccc2)co1,O=C1N[C@H](c2ccccc2)CO1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)N/C(=C\[N+](=O)[O-])c1ccccc1,CC(=O)N[C@@H](C[N+](=O)[O-])c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/CCN1C(=O)c2ccccc2C1=O)NC(C)=O,COC(=O)[C@@H](CCCN1C(=O)c2ccccc2C1=O)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC/C(=C\C(=O)OC)NC(C)=O,CC[C@@H](CC(=O)OC)NC(C)=O,badfit,badfit,2.792316255905,4.920286528663691,badfit,badfit,3.8563013922843457,0.9792918302571378
O=C(NC1=Cc2ccccc2CC1)c1ccccc1,O=C(N[C@H]1CCc2ccccc2C1)c1ccccc1,3.267614840142521,3.2779564703661492,2.5449594087662355,3.3006883469112145,3.300231971107965,badfit,3.1382902074588173,0.9584448358657393
CC(=O)NC1=CCCC(c2ccccc2)=C1,CC(=O)N[C@H]1C=C(c2ccccc2)CCC1,badfit,3.6343857488830054,badfit,3.5618837140459183,badfit,badfit,3.598134731464462,0.9733546727131636
CC(=O)N/C(=C\[N+](=O)[O-])c1ccccc1,CC(=O)N[C@H](C[N+](=O)[O-])c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@H]1CCc2ccccc2C1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
COC(=O)/C(=C/c1cccnc1)NC(C)=O,COC(=O)[C@H](Cc1cccnc1)NC(C)=O,12.206067645522225,12.206067645522225,12.206067645522225,12.206067645522225,12.206067645522225,12.206067645522225,12.206067645522225,0.9999950000000001
C/C(=C\c1ccccc1)CO,C[C@H](CO)Cc1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CCCC)c1ccccc1,CCCC[C@@H](C)c1ccccc1,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)c1c(C)ncc2ccccc12,CCOC(=O)[C@@H]1c2ccccc2CN[C@@H]1C,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CC/C=C(/NC(C)=O)c1ccccc1,CCC[C@H](NC(C)=O)c1ccccc1,0.3701237781234106,nan,badfit,badfit,0.32786985084248776,0.6762014450932572,0.45806502468638516,0.6125550459512173
C/C(=N\c1ccccc1)c1ccccc1,C[C@@H](Nc1ccccc1)c1ccccc1,0,0,0,0,0,0,0.0,0.5
C=C(C(=O)O)c1ccccc1,C[C@H](C(=O)O)c1ccccc1,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
CCOC(=O)/C(F)=C(\C(=O)OCC)c1ccc(C(F)(F)F)cc1,CCOC(=O)[C@@H](F)[C@H](C(=O)OCC)c1ccc(C(F)(F)F)cc1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(CC(=O)c1ccc(Cl)cc1)C(=O)O,C[C@@H](CC(=O)c1ccc(Cl)cc1)C(=O)O,nofit,nofit,nofit,nofit,nofit,nofit,nofit,nofit
COC(=O)C1=COc2ccccc2O1,COC(=O)[C@H]1COc2ccccc2O1,badfit,badfit,2.427020192303612,badfit,2.19299809437007,badfit,2.310009143336841,0.9097026063680919
CCN1CCc2ccccc2/C1=C/c1ccccc1,CCN1CCc2ccccc2[C@H]1Cc1ccccc1,not found,not found,not found,not found,not found,not found,not found,not found
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@H](C)NC(C)=O,badfit,badfit,badfit,badfit,badfit,badfit,nofit,nofit
