Reactant,product
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC
C=C(c1ccccc1)c1ccccc1C(=O)O,C[C@@H](c1ccccc1)c1ccccc1C(=O)O
COC(=O)/C(=C/c1ccco1)NC(=O)OCc1ccccc1,COC(=O)[C@@H](Cc1ccco1)NC(=O)OCc1ccccc1
COC(=O)c1ccc(C2=CC(=O)Nc3ccccc3S2)cc1,COC(=O)c1ccc([C@H]2CC(=O)Nc3ccccc3S2)cc1
C/C=C(/c1ccccc1)[Si](C)(C)C,CC[C@@H](c1ccccc1)[Si](C)(C)C
C=C(CC)c1ccccc1,CC[C@@H](C)c1ccccc1
C=C(CC)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
COC(=O)/C=C(\C)NC(C)=O,COC(=O)C[C@H](C)NC(C)=O
CCOC(=O)/C=C(\Sc1ccccc1)c1ccc(F)cc1,CCOC(=O)C[C@@H](Sc1ccccc1)c1ccc(F)cc1
CCOC(=O)/C(F)=C/c1ccccc1,CCOC(=O)[C@@H](F)Cc1ccccc1
C=C(NC(C)=O)C(=O)O,CC(=O)N[C@@H](C)C(=O)O
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC
O=C1C[C@H](Cc2ccccc2)C(=O)N1Cc1ccccc1,O=C1C[C@H](Cc2ccccc2)C(=O)N1Cc1ccccc1
C=C(B1OC(C)(C)C(C)(C)O1)c1ccc(OC)cc1,COc1ccc([C@H](C)B2OC(C)(C)C(C)(C)O2)cc1
C=C(NC(C)=O)c1ccc(F)cc1,CC(=O)N[C@@H](C)c1ccc(F)cc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
c1ccc(-c2cc3ccccc3o2)cc1,c1ccc([C@@H]2Cc3ccccc3O2)cc1
COC(=O)C(NC=O)=C1CCCCC1,COC(=O)[C@@H](NC=O)C1CCCCC1
CC(=O)NC1=Cc2ccccc2CC1,CC(=O)N[C@@H]1CCc2ccccc2C1
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1
C/C=C(/C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@H](C)C(=O)OC
COc1ccc2c(c1)C=C(NC(C)=O)CC2,COc1ccc2c(c1)C[C@@H](NC(C)=O)CC2
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@@H](C)c1ccccc1
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O
C=C(NC(C)=O)c1ncc(Br)cc1F,CC(=O)N[C@H](C)c1ncc(Br)cc1F
COC(=O)/C(=C/c1ccccc1OC)NC(C)=O,COC(=O)[C@H](Cc1ccccc1OC)NC(C)=O
CCOC(=O)/C=C(/B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1
CCOP(=O)(/C=C(\N)c1ccccc1)OCC,CCOP(=O)(C[C@H](N)c1ccccc1)OCC
CCOC(=O)/C=C(\C)c1ccc(SC)cc1,CCOC(=O)C[C@@H](C)c1ccc(SC)cc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
CCN1CCC(NC(=O)c2ccccc2)=C(F)C1,CCN1CC[C@@H](NC(=O)c2ccccc2)[C@@H](F)C1
CC(=O)/C=C(\C)c1ccccc1,CC(=O)C[C@@H](C)c1ccccc1
CC1=C(C)c2ccccc2C1,C[C@@H]1Cc2ccccc2[C@@H]1C
C=C(/C=C\C)/C=C(\C)c1ccccc1,C=C(/C=C\C)C[C@@H](C)c1ccccc1
C=C(CO)C(=O)OC,COC(=O)[C@@H](C)CO
[H]/C=C(\NC(C)=O)C1=CC=CCC=C1,CC(=O)N[C@H](C)C1=CC=CCC=C1
CC1C=Cc2ccccc21,C[C@H]1CCc2ccccc21
CCOC(=O)/C=C(\CC)c1ccccc1,CCOC(=O)C[C@@H](CC)c1ccccc1
COC(=O)/C(NC(C)=O)=C(/c1ccccc1)c1cn(C(=O)OC(C)(C)C)c2ncccc12,COC(=O)[C@@H](NC(C)=O)[C@@H](c1ccccc1)c1cn(C(=O)OC(C)(C)C)c2ncccc12
O=C(/C=C1/CCc2ccccc2N1)c1ccccc1,O=C(C[C@H]1CCc2ccccc2N1)c1ccccc1
C/C=C(\C)c1ccccc1,CC[C@@H](C)c1ccccc1
C=C(CC(=O)OC)C(=O)O,COC(=O)C[C@@H](C)C(=O)O
C/C(=C\c1ccccc1[N+](=O)[O-])C(=O)O,C[C@@H](Cc1ccccc1[N+](=O)[O-])C(=O)O
O=C(C1=C(c2cc(OCc3ccccc3)ccc2OCc2ccccc2)CCC1)c1ccc(OCc2ccccc2)cc1,O=C(c1ccc(OCc2ccccc2)cc1)[C@@H]1CCC[C@H]1c1cc(OCc2ccccc2)ccc1OCc1ccccc1
O=C(O)C1C=CCO1,O=C(O)[C@@H]1CCCO1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
COC(=O)/C(=C/c1ccco1)NC(=O)OCc1ccccc1,COC(=O)[C@@H](Cc1ccco1)NC(=O)OCc1ccccc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
CC(=O)N/C(=C\c1ccccc1)C(=O)O,CC(=O)N[C@H](Cc1ccccc1)C(=O)O
C=C(C[Si](C)(C)C)c1ccccc1,C[C@@H](C[Si](C)(C)C)c1ccccc1
O=C1C[C@H](Cc2ccccc2)C(=O)N1Cc1ccccc1,O=C1C[C@H](Cc2ccccc2)C(=O)N1Cc1ccccc1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1
C=C(CC(=O)C(C)(C)C)C(=O)O,C[C@H](CC(=O)C(C)(C)C)C(=O)O
CCOC(=O)C(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
C=C(CC(=O)c1ccc(Cl)cc1)C(=O)O,C[C@H](CC(=O)c1ccc(Cl)cc1)C(=O)O
COC(=O)/C(=C/c1ccc(F)cc1)NC(C)=O,COC(=O)[C@@H](Cc1ccc(F)cc1)NC(C)=O
C/C=C(\Oc1ccccc1)C(=O)O,CC[C@H](Oc1ccccc1)C(=O)O
CCOC(=O)/C=C(/B1OC(C)(C)C(C)(C)O1)c1ccccc1,CCOC(=O)C[C@@H](B1OC(C)(C)C(C)(C)O1)c1ccccc1
CCOC(=O)/C=C(\NC(C)=O)c1ccc(Cl)cc1,CCOC(=O)C[C@@H](NC(C)=O)c1ccc(Cl)cc1
CC(=O)N/C(=C\C(C)C)c1ccccc1,CC(=O)N[C@H](CC(C)C)c1ccccc1
COc1ccc2c(c1)CCC=C2C,COc1ccc2c(c1)CCC[C@H]2C
C=C1C(=O)NCCc2cc(OC)c(OC)cc21,COc1cc2c(cc1OC)[C@@H](C)C(=O)NCC2
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
C=C(CC)c1ccc(C(F)(F)F)cc1,CC[C@@H](C)c1ccc(C(F)(F)F)cc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
COC(=O)/C=C(/C)NC(C)=O,COC(=O)C[C@@H](C)NC(C)=O
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
CC(C)(C)OC(=O)N1CCCC/C(=C\c2ccccc2)C1=O,CC(C)(C)OC(=O)N1CCCC[C@H](Cc2ccccc2)C1=O
C=C(CCCCCC)B1OC(C)(C)C(C)(C)O1,CCCCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1
C=C(CC)c1ccccc1,CC[C@H](C)c1ccccc1
O=C1CCC/C1=C\c1ccccc1,O=C1CCC[C@H]1Cc1ccccc1
COc1ccc2c(c1)C=C(NC(C)=O)CC2,COc1ccc2c(c1)C[C@@H](NC(C)=O)CC2
COC(=O)/C(C)=C/[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,COC(=O)[C@H](C)C[C@@H](C)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C
O=C1C=C(c2ccccc2)C(=O)N1,O=C1C[C@@H](c2ccccc2)C(=O)N1
C=C(NC(C)=O)C(=O)OC,COC(=O)[C@@H](C)NC(C)=O
CC(=O)NC1=CCCc2ccccc21,CC(=O)N[C@H]1CCCc2ccccc21
C=C(C(=O)O)c1ccc(OC)cc1,COc1ccc([C@@H](C)C(=O)O)cc1
O=C(O)/C=C(\c1ccccc1)c1ccc(Cl)c(Cl)c1,O=C(O)C[C@H](c1ccccc1)c1ccc(Cl)c(Cl)c1
C=C(c1ccccc1)c1ccccc1C(=O)O,C[C@H](c1ccccc1)c1ccccc1C(=O)O
C=C(CC(=O)O)C(=O)OC,COC(=O)[C@H](C)CC(=O)O
C=C(NC(C)=O)c1ccc(C)cc1,CC(=O)N[C@H](C)c1ccc(C)cc1
C=C(NC(C)=O)C(C)(C)C,CC(=O)N[C@@H](C)C(C)(C)C
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1
CCOC(=O)/C(C)=C/c1ccccc1,CCOC(=O)[C@H](C)Cc1ccccc1
C=C(OC(C)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(=O)O[C@H](C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
C/C(=C\c1ccccc1)C(=O)O,C[C@H](Cc1ccccc1)C(=O)O
C=C1c2ccccc2CCN1C,C[C@@H]1c2ccccc2CCN1C
C=C(C(=O)O)c1ccc(F)cc1,C[C@H](C(=O)O)c1ccc(F)cc1
COCCCOc1cc(/C=C(/C(=O)OC(C)(C)C)C(C)C)ccc1OC,COCCCOc1cc(C[C@@H](C(=O)OC(C)(C)C)C(C)C)ccc1OC
Cc1cccc(C2=Cc3ccccc3S2(=O)=O)c1,Cc1cccc([C@H]2Cc3ccccc3S2(=O)=O)c1
C=C(CCCCCC)B1OC(C)(C)C(C)(C)O1,CCCCCC[C@@H](C)B1OC(C)(C)C(C)(C)O1
C/C=C(/C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
CCOC(=O)C1=CN(C(C)=O)CCC1,CCOC(=O)[C@@H]1CCCN(C(C)=O)C1
CC1=CCCO1,C[C@H]1CCCO1
CC(C)(C)OC(=O)C(=O)N/C(=C\C1CC1)C(=O)OCc1ccccc1,CC(C)(C)OC(=O)C(=O)N[C@@H](CC1CC1)C(=O)OCc1ccccc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@@H](Cc1ccccc1)c1ccccc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
COC(=O)/C=C(/NC(C)=O)C(C)(C)C,COC(=O)C[C@@H](NC(C)=O)C(C)(C)C
C=C(CC(=O)OC)C(=O)OC,COC(=O)C[C@@H](C)C(=O)OC
CC1=CC(=O)OCC1,C[C@H]1CCOC(=O)C1
C=C(NC(C)=O)c1ccccc1OC,COc1ccccc1[C@@H](C)NC(C)=O
C=C(CCCC)OC(=O)c1ccco1,CCCC[C@H](C)OC(=O)c1ccccc1
CC(=O)NC1=CCc2ccccc21,CC(=O)N[C@@H]1CCc2ccccc21
COc1cccc2c1C=C(NC(C)=O)CC2,COc1cccc2c1C[C@@H](NC(C)=O)CC2
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
C=C(c1ccccc1)C(C)C,CC(C)[C@@H](C)c1ccccc1
CCOC(=O)/C=C(/C)NC(C)=O,CCOC(=O)C[C@@H](C)NC(C)=O
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1
CCOC(=O)/C(C)=C(\C(=O)OCc1ccccc1)c1ccsc1,CCOC(=O)[C@@H](C)[C@H](C(=O)OCc1ccccc1)c1ccsc1
COc1ccc(-c2cc3ccccc3o2)cc1,COc1ccc([C@@H]2Cc3ccccc3O2)cc1
COC(=O)C1=COc2ccc(C(C)(C)C)cc2O1,COC(=O)[C@H]1COc2ccc(C(C)(C)C)cc2O1
CC(C)(C)OC(=O)C(=O)N/C(=C\C1CC1)C(=O)OCc1ccccc1,CC(C)(C)OC(=O)C(=O)N[C@@H](CC1CC1)C(=O)OCc1ccccc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1
CC(C)/C=C(\C#N)CC(=O)[O-],CC(C)C[C@H](C#N)CC(=O)[O-]
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
CCOC(=O)/C=C1\Nc2ccccc2OC1=O,CCOC(=O)C[C@H]1Nc2ccccc2OC1=O
CCOC(=O)/C=C(\C)c1ccccc1,CCOC(=O)C[C@H](C)c1ccccc1
COc1cc2c(c(OC)c1OC)-c1ccc(O)cc1C(NC(C)=O)=CC2,COc1cc2c(c(OC)c1OC)-c1ccc(O)cc1[C@@H](NC(C)=O)CC2
C=C(c1ccccc1)C(C)C,CC(C)[C@H](C)c1ccccc1
COc1cccc2c1C=C(NC(C)=O)CC2,COc1cccc2c1C[C@H](NC(C)=O)CC2
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@H](C)c1ccccc1
C=C(c1ccccc1)P(=O)(O)O,C[C@@H](c1ccccc1)P(=O)(O)O
CC/C(=C\C(=O)OC)NC(C)=O,CC[C@@H](CC(=O)OC)NC(C)=O
CCCCC1=CC(=O)CC1,CCCC[C@@H]1CCC(=O)C1
C/C(=C\C(=O)c1ccccc1)S(=O)(=O)c1ccccc1,C[C@H](CC(=O)c1ccccc1)S(=O)(=O)c1ccccc1
C/C(=C\c1ccccc1)C(=O)O,C[C@@H](Cc1ccccc1)C(=O)O
COCO/C=C(\NC(C)=O)c1ccccc1,COCOC[C@@H](NC(C)=O)c1ccccc1
C/C=C(/C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
COC(=O)/C=C(\NC(C)=O)c1ccccc1,COC(=O)C[C@H](NC(C)=O)c1ccccc1
C/C(=C\[N+](=O)[O-])c1ccccc1,C[C@@H](C[N+](=O)[O-])c1ccccc1
CCOC(=O)/C(C)=C/c1ccccc1,CCOC(=O)[C@@H](C)Cc1ccccc1
CC(C)=CCC/C(C)=C/CO,CC(C)=CCC[C@@H](C)CCO
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
CC1(C)OB(/C(=C/CCc2ccccc2)N2CCOC2=O)OC1(C)C,CC1(C)OB([C@@H](CCCc2ccccc2)N2CCOC2=O)OC1(C)C
C/C=C(\C)C(=O)O,CC[C@H](C)C(=O)O
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@@H](Cc1ccccc1)NC(C)=O
C=C(NC(C)=O)c1ccccc1,CC(=O)N[C@@H](C)c1ccccc1
CCOC(=O)/C=C(\C)Oc1ccccc1Br,CCOC(=O)C[C@@H](C)Oc1ccccc1Br
CCOC(=O)C1=C(NC(=O)c2ccc(OC(F)F)cc2)CCCC1,CCOC(=O)[C@H]1CCCC[C@H]1NC(=O)c1ccc(OC(F)F)cc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
CCOC(=O)/C=C(\Sc1ccc(F)cc1)c1ccccc1,CCOC(=O)C[C@@H](Sc1ccc(F)cc1)c1ccccc1
C/C(=C\c1ccccc1C)C(=O)O,Cc1ccccc1C[C@H](C)C(=O)O
CC(=O)N/C(C)=C\C(=O)c1ccccc1,CC(=O)N[C@@H](C)CC(=O)c1ccccc1
C=C(NC(C)=O)C(=O)O,CC(=O)N[C@@H](C)C(=O)O
CC(C)(C)OC(=O)NC1CCN(C(=O)C/C(=C\c2ccccc2)C(=O)O)CC1,CC(C)(C)OC(=O)NC1CCN(C(=O)C[C@@H](Cc2ccccc2)C(=O)O)CC1
CC1=CC(=O)CCC1,C[C@H]1CCCC(=O)C1
CC(=O)N1/C(=C\c2ccccc2)COc2ccccc21,CC(=O)N1c2ccccc2OC[C@H]1Cc1ccccc1
C=C(CC)c1ccccc1,CC[C@@H](C)c1ccccc1
CCc1ccc(-c2coc(=O)[nH]2)cc1,CCc1ccc([C@H]2COC(=O)N2)cc1
C/C=C(\C)c1ccc(OC)cc1,CC[C@@H](C)c1ccc(OC)cc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
C/C(=C\c1ccccc1)c1ccccc1,C[C@H](Cc1ccccc1)c1ccccc1
C1CCC(NC2CCCCC2)CC1.C=C(CO)C(=O)O,C1CCC(NC2CCCCC2)CC1.C[C@@H](CO)C(=O)O
CCOC(=O)/C(NC(C)=O)=C(\OC(C)=O)c1ccc(OC)cc1,CCOC(=O)[C@@H](NC(C)=O)[C@H](OC(C)=O)c1ccc(OC)cc1
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
C/C=C(\C)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
C/C=C(/c1ccccc1)[Si](C)(C)C,CC[C@@H](c1ccccc1)[Si](C)(C)C
C=C(CC)c1ccc(OC)cc1,CC[C@H](C)c1ccc(OC)cc1
COC/C=C(\NC(C)=O)C(=O)OC,COCC[C@@H](NC(C)=O)C(=O)OC
C=C(NC(C)=O)C(C)(C)C,CC(=O)N[C@@H](C)C(C)(C)C
COC(=O)/C(=C/c1ccccc1)NC(C)=O,COC(=O)[C@H](Cc1ccccc1)NC(C)=O
